date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:25	60173/60173	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eb0d-6103a617349b1%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.19.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/js/frontend-modules.min225e.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:25	21438/21438	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253be-5f84648bea52b%22	https://preview.moxcreative.com/speakup/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/jquery/ui/core.min3f14.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:25	40306/40306	---MCZ	200	added ('OK')	application/javascript	etag:W/%229d72-6103a617345c9%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.19.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementor/assets/js/frontend.min225e.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:25	1118/1118	---MCZ	200	added ('OK')	application/javascript	etag:W/%2245e-6103a6225a28b%22	https://preview.moxcreative.com/speakup/wp-content/plugins/bdthemes-element-pack-lite/assets/js/common/helper.min.js?ver=5.5.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/bdthemes-element-pack-lite/assets/js/common/helper.mindeba.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:26	5102/5102	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213ee-5d7d42251b751%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.6.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.minaf6c.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:26	8171/8171	---MCZ	200	added ('OK')	application/javascript	etag:W/%221feb-5f84648bf493e%22	https://preview.moxcreative.com/speakup/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:26	6625/6625	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219e1-609afc42b6049%22	https://preview.moxcreative.com/speakup/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.14.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/dist/vendor/regenerator-runtime.min6c85.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:27	115127/115127	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c1b7-609afc42b6049%22	https://preview.moxcreative.com/speakup/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:28	4627/4627	---MCZ	200	added ('OK')	application/javascript	etag:W/%221213-602862b6ff759%22	https://preview.moxcreative.com/speakup/wp-includes/js/dist/hooks.min.js?ver=c6aec9a8d4e5a5d543a1	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/dist/hooks.min2ebd.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:28	9445/9445	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224e5-602862b6ed643%22	https://preview.moxcreative.com/speakup/wp-includes/js/dist/i18n.min.js?ver=7701b0c3857f914212ef	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-includes/js/dist/i18n.minf92f.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:28	20511/20511	---MCZ	200	added ('OK')	application/javascript	etag:W/%22501f-5d7d42251b369%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.6.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementor-pro/assets/js/frontend.minaf6c.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:29	24796/24796	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260dc-5d7d42251bf21%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.6.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementor-pro/assets/js/elements-handlers.minaf6c.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:29	4931/4931	---MCZ	200	added ('OK')	application/javascript	etag:W/%221343-6103a61cc0ca6%22	https://preview.moxcreative.com/speakup/wp-content/plugins/bdthemes-prime-slider-lite/assets/js/prime-slider-site.min.js?ver=3.11.12	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/bdthemes-prime-slider-lite/assets/js/prime-slider-site.min19a0.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:30	681/681	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a9-6103a60d305ce%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementskit-lite/widgets/init/assets/js/animate-circle.min.js?ver=3.0.4	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementskit-lite/widgets/init/assets/js/animate-circle.min459e.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:30	18593/18593	---MCZ	200	added ('OK')	application/javascript	etag:W/%2248a1-6103a60d30d9e%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor.js?ver=3.0.4	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor459e.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
01:03:32	3236/3236	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ca4-5d7d4225155a7%22	https://preview.moxcreative.com/speakup/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.6.0	C:/Users/walid-pc/Downloads/aminpp/preview.moxcreative.com/speakup/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.minaf6c.js	(from https://preview.moxcreative.com/speakup/template-kit/homepage/)
